item_id,backtest_window,backtestwindow_start_time,backtestwindow_end_time,wQL[0.65],wQL[0.9],RMSE,WAPE
31230,Summary,2017-06-19T00:00:00,2017-06-23T23:00:00,0.4800006261226423,0.28055620557663746,3.027206185865159,42.53462244206
31222,Computed,2017-06-20T00:00:00,2017-06-20T23:00:00,0.5600516188595284,0.26157953161377356,3.665573766458382,52.521984562
32059,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.08422470160000001,0.02720974913999999,0.005027763673729269,0.113298568
32010,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,1.3216625291025,1.7962090631749998,0.4099229061369585,4.116308166
31036,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.8105098570176923,0.5282139907215384,0.897511141691224,11.478849607999999
31700,Computed,2017-06-22T00:00:00,2017-06-22T23:00:00,1.4143289736400004,1.8461765239199996,0.20329952055318343,1.1140088477000003
31260,Computed,2017-06-19T00:00:00,2017-06-19T23:00:00,0.8408981882101962,0.5463636667439216,2.3858769595691203,37.4355093852
32040,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,1.323479845503333,1.8036665884799998,0.4554208264308913,3.0852823373999994
31113,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,0.9011229597202438,0.8000732543170732,2.665752975016567,35.753415024400006
31083,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,1.29083238364,1.5329425890950001,0.745263566565133,8.598535104500002
31023,Computed,2017-06-20T00:00:00,2017-06-20T23:00:00,0.6939366676223531,0.33378543896000007,0.8824982797813479,12.3258370644
32035,Computed,2017-06-20T00:00:00,2017-06-20T23:00:00,1.21471436836,1.33492239246,0.2890149271000854,2.0190674081999997
31245,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,0.6187424352577359,0.47981253533735846,1.7639531355411473,29.584847623400005
31087,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,1.0867904377250002,1.0301052998833333,0.5919163189128291,5.2695869502
32043,Computed,2017-06-23T00:00:00,2017-06-23T23:00:00,1.2823714777677777,1.7291914254711112,0.7842572142099938,8.8827270353
31910,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,1.3220020373049999,1.81798880338,0.6458619943217041,4.0319827792
31269,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.595809411820345,0.3846033981617241,1.9641873047937692,34.8871642937
31100,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.7899036580871053,0.5021312103910526,2.2299023243342995,29.149598177399998
31078,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,1.0658763043150001,1.185032687595,1.0368384265739368,7.7755467706
31294,Computed,2017-06-19T00:00:00,2017-06-19T23:00:00,0.8708923075067743,0.8160297279290321,2.231221992851349,27.221300457199998
31636,Computed,2017-06-22T00:00:00,2017-06-22T23:00:00,0.7182403924944231,0.43476848278461533,2.141427494397028,34.9960001132
31806,Computed,2017-06-22T00:00:00,2017-06-22T23:00:00,1.3019787878833335,1.7987809675866668,0.4563713236049486,3.0072562721000002
31125,Summary,2017-06-19T00:00:00,2017-06-23T23:00:00,0.6223082047347047,0.32431476092122163,2.0401757140270385,30.46903747442
31521,Summary,2017-06-19T00:00:00,2017-06-23T23:00:00,1.0638169975106666,1.4508532452773333,0.19339021050408842,1.22939376958
31602,Summary,2017-06-19T00:00:00,2017-06-23T23:00:00,0.5655917317746765,0.3841762673173066,1.7599636763997109,30.297174561579993
32029,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,1.140592484622,1.2584494298559998,0.529917683944165,5.1105835956
32025,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.8904386497862501,0.691286181065,0.6728988421439759,6.305554973500001
31411,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,1.2933372742285716,1.7195953293942856,0.5407297775698994,7.108071398000002
31123,Computed,2017-06-21T00:00:00,2017-06-21T23:00:00,0.7063005963317951,0.39824786272410256,1.4373472775855414,24.498022918700006
